IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.163.71.179,443,443,true,SJC,North America,US,San Jose,184,11.36
51.140.85.89,8443,443,true,LHR,Europe,GB,London,398,11.33
20.215.241.164,8443,443,true,WAW,Europe,PL,Warsaw,330,11.33
20.33.30.36,2083,443,true,LAX,North America,US,Los Angeles,299,11.30
20.240.254.247,2053,443,true,ARN,Europe,SE,Stockholm,365,11.23
20.217.216.51,2053,443,true,VIE,Europe,AT,Vienna,465,11.16
20.91.225.232,2053,443,true,ARN,Europe,SE,Stockholm,435,11.13
20.217.216.51,8443,443,true,VIE,Europe,AT,Vienna,255,10.79
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,417,10.69
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,205,10.16
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,267,9.99
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,466,9.96
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,379,9.79
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,233,9.70
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,463,9.64
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,388,9.64
4.255.56.138,443,443,true,IAD,North America,US,Ashburn,391,8.93
158.23.168.120,443,443,true,DFW,North America,US,Dallas,343,8.90
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,468,8.72
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,436,8.69
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,348,8.50
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,514,8.42
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,257,8.35
172.191.74.198,443,443,true,IAD,North America,US,Ashburn,354,8.35
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,275,8.34
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,361,8.24
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,315,8.19
20.221.32.145,443,443,true,ORD,North America,US,Chicago,256,8.12
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,390,8.12
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,576,8.11
74.249.233.213,443,443,true,ORD,North America,US,Chicago,297,8.08
40.87.50.39,443,443,true,IAD,North America,US,Ashburn,282,8.08
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,345,8.07
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,238,8.06
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,258,8.02
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,329,8.00
172.191.132.64,443,443,true,IAD,North America,US,Ashburn,409,7.97
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,290,7.90
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,358,7.81
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,359,7.75
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,290,7.70
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,247,7.65
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,345,7.58
104.46.101.90,8443,443,true,IAD,North America,US,Ashburn,647,7.54
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,217,7.52
137.116.91.147,8443,443,true,IAD,North America,US,Ashburn,311,7.40
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,321,7.37
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,396,7.37
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,280,7.32
172.200.2.241,443,443,true,IAD,North America,US,Ashburn,354,7.25
4.248.47.209,8443,443,true,YUL,North America,CA,Montréal,354,7.17
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,378,7.10
40.123.47.252,8443,443,true,IAD,North America,US,Ashburn,290,6.45
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,416,6.45
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,334,6.27
4.152.146.110,443,443,true,IAD,North America,US,Ashburn,365,6.26
20.57.85.61,443,443,true,IAD,North America,US,Ashburn,226,6.19
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,290,5.77
191.235.86.71,8443,443,true,GRU,South America,BR,São Paulo,469,3.99
20.52.104.187,443,443,true,KIX,Asia Pacific,JP,Osaka,494,3.67
20.220.204.217,443,443,true,YYZ,North America,CA,Toronto,303,0.08
20.204.43.57,80,443,false,BOM,Asia Pacific,IN,Mumbai,53,0.07
137.116.251.154,80,443,false,DUB,Europe,IE,Dublin,161,0.02
52.226.76.91,80,443,false,IAD,North America,US,Ashburn,217,0.02
13.90.157.110,80,443,false,IAD,North America,US,Ashburn,235,0.02
20.48.5.180,80,80,false,NRT,Asia Pacific,JP,Tokyo,104,0.00
4.213.40.54,80,80,false,BOM,Asia Pacific,IN,Mumbai,149,0.00
51.140.44.206,2086,2086,false,LHR,Europe,GB,London,150,0.00
51.145.10.26,80,8080,false,LHR,Europe,GB,London,150,0.00
51.140.154.44,2086,2086,false,LHR,Europe,GB,London,151,0.00
104.40.244.228,80,80,false,AMS,Europe,NL,Amsterdam,152,0.00
40.66.63.160,80,80,false,CDG,Europe,FR,Paris,154,0.00
13.95.193.125,80,443,false,AMS,Europe,NL,Amsterdam,154,0.00
51.140.191.188,2086,2086,false,LHR,Europe,GB,London,155,0.00
20.58.24.221,2086,2086,false,LHR,Europe,GB,London,159,0.00
20.223.196.107,80,80,false,DUB,Europe,IE,Dublin,160,0.00
104.40.244.228,443,443,true,AMS,Europe,NL,Amsterdam,192,0.00
51.141.162.228,80,80,false,SEA,North America,US,Seattle,200,0.00
20.84.61.12,8080,80,false,IAD,North America,US,Ashburn,221,0.00
4.255.56.138,80,80,false,IAD,North America,US,Ashburn,223,0.00
4.255.56.137,80,80,false,IAD,North America,US,Ashburn,229,0.00
172.174.249.255,80,80,false,IAD,North America,US,Ashburn,242,0.00
20.119.73.200,80,80,false,IAD,North America,US,Ashburn,273,0.00
